iter	Passed	Remaining
0	142	142001
1	142	71241
2	143	47653
3	143	35848
4	144	28771
5	145	24047
6	145	20672
7	146	18139
8	146	16166
9	147	14589
10	147	13298
11	148	12222
12	148	11311
13	149	10530
14	150	9852
15	150	9259
16	151	8735
17	151	8270
18	152	7855
19	152	7480
20	153	7141
21	153	6834
22	154	6553
23	154	6301
24	155	6067
25	156	5849
26	156	5646
27	157	5458
28	157	5284
29	158	5121
30	158	4967
31	159	4823
32	160	4689
33	160	4563
34	161	4443
35	161	4330
36	162	4223
37	162	4123
38	163	4027
39	163	3935
40	164	3848
41	165	3766
42	165	3687
43	166	3612
44	166	3540
45	167	3472
46	167	3406
47	168	3343
48	169	3284
49	169	3226
50	170	3169
51	170	3115
52	171	3063
53	172	3013
54	172	2964
55	173	2918
56	173	2873
57	174	2831
58	174	2790
59	175	2750
60	176	2711
61	176	2672
62	177	2635
63	177	2600
64	178	2567
65	179	2534
66	179	2501
67	180	2469
68	180	2438
69	181	2409
70	181	2381
71	182	2353
72	183	2325
73	183	2298
74	184	2271
75	184	2246
76	185	2221
77	185	2196
78	186	2172
79	186	2149
80	187	2126
81	188	2104
82	188	2080
83	188	2059
84	189	2039
85	189	2019
86	190	1999
87	191	1980
88	191	1961
89	192	1943
90	192	1925
91	193	1907
92	193	1890
93	194	1873
94	194	1856
95	195	1841
96	196	1826
97	196	1811
98	197	1795
99	197	1780
100	198	1765
101	198	1751
102	199	1737
103	200	1723
104	200	1709
105	201	1696
106	201	1684
107	202	1672
108	203	1660
109	203	1648
110	204	1636
111	204	1624
112	205	1612
113	205	1600
114	206	1589
115	207	1578
116	207	1566
117	208	1555
118	208	1544
119	209	1533
120	209	1524
121	210	1513
122	211	1504
123	211	1495
124	212	1485
125	212	1476
126	213	1466
127	213	1457
128	214	1448
129	215	1439
130	215	1430
131	216	1422
132	217	1415
133	217	1407
134	218	1399
135	219	1391
136	219	1384
137	220	1377
138	221	1370
139	221	1362
140	222	1356
141	223	1347
142	223	1340
143	224	1333
144	224	1326
145	225	1319
146	226	1313
147	226	1306
148	227	1299
149	228	1292
150	228	1285
151	229	1278
152	229	1271
153	230	1264
154	230	1258
155	231	1251
156	231	1245
157	232	1238
158	233	1232
159	233	1226
160	233	1219
161	234	1213
162	235	1207
163	235	1201
164	236	1195
165	236	1189
166	237	1183
167	237	1177
168	238	1172
169	239	1166
170	239	1161
171	240	1156
172	240	1150
173	241	1145
174	242	1140
175	242	1136
176	243	1131
177	243	1126
178	244	1121
179	245	1117
180	245	1112
181	246	1108
182	247	1103
183	247	1099
184	248	1094
185	249	1090
186	249	1085
187	250	1081
188	250	1076
189	251	1071
190	252	1067
191	252	1062
192	253	1060
193	254	1056
194	254	1052
195	255	1048
196	256	1044
197	256	1040
198	257	1036
199	258	1033
200	258	1029
201	259	1025
202	260	1021
203	260	1017
204	261	1013
205	261	1009
206	262	1005
207	263	1002
208	263	998
209	264	994
210	264	990
211	265	986
212	266	982
213	266	979
214	267	976
215	267	972
216	268	969
217	269	965
218	269	962
219	270	958
220	271	955
221	271	951
222	272	948
223	272	945
224	273	941
225	274	938
226	274	935
227	275	931
228	275	928
229	276	925
230	276	921
231	277	918
232	278	915
233	278	912
234	279	909
235	279	906
236	280	903
237	281	900
238	281	897
239	282	894
240	283	891
241	283	888
242	284	885
243	284	882
244	285	880
245	286	877
246	287	875
247	287	872
248	288	869
249	289	867
250	289	864
251	290	861
252	291	859
253	291	856
254	292	854
255	292	851
256	293	848
257	294	846
258	295	844
259	295	842
260	296	839
261	297	837
262	298	835
263	298	833
264	299	831
265	300	828
266	300	826
267	301	824
268	302	822
269	303	819
270	303	817
271	304	814
272	305	812
273	305	810
274	306	807
275	307	805
276	307	803
277	308	800
278	309	800
279	310	798
280	311	796
281	312	794
282	312	792
283	313	791
284	314	788
285	315	786
286	315	784
287	316	782
288	317	780
289	317	778
290	318	776
291	319	773
292	320	773
293	321	771
294	322	769
295	322	767
296	323	765
297	324	763
298	324	761
299	325	759
300	326	757
301	326	755
302	327	753
303	328	751
304	328	749
305	329	747
306	330	745
307	330	743
308	331	741
309	332	739
310	332	737
311	333	735
312	333	733
313	334	731
314	335	729
315	336	727
316	336	725
317	337	723
318	337	721
319	338	719
320	339	717
321	339	715
322	340	714
323	341	712
324	342	710
325	342	708
326	343	706
327	344	704
328	344	703
329	345	701
330	346	699
331	346	697
332	347	695
333	347	693
334	348	692
335	349	690
336	349	688
337	350	686
338	351	686
339	352	684
340	354	684
341	355	683
342	355	681
343	356	680
344	357	679
345	358	677
346	359	676
347	359	674
348	360	672
349	361	670
350	361	669
351	362	667
352	363	665
353	363	663
354	364	662
355	365	660
356	365	658
357	366	657
358	367	655
359	367	653
360	368	651
361	368	650
362	369	648
363	370	646
364	370	644
365	371	643
366	371	641
367	372	639
368	373	638
369	373	636
370	374	635
371	375	633
372	375	632
373	376	630
374	377	628
375	377	627
376	378	625
377	379	623
378	379	622
379	380	620
380	381	619
381	381	617
382	382	615
383	382	614
384	383	612
385	384	610
386	384	609
387	385	607
388	385	605
389	386	604
390	387	602
391	387	601
392	388	599
393	388	598
394	389	596
395	390	594
396	390	593
397	391	591
398	392	590
399	392	589
400	393	587
401	394	586
402	394	584
403	395	583
404	395	581
405	396	580
406	397	578
407	397	576
408	398	575
409	398	573
410	399	572
411	399	570
412	400	569
413	401	567
414	401	566
415	402	564
416	402	563
417	403	561
418	404	560
419	404	558
420	405	557
421	405	555
422	406	554
423	407	553
424	407	551
425	408	550
426	408	548
427	409	547
428	410	545
429	410	544
430	411	543
431	411	541
432	412	540
433	413	539
434	414	537
435	414	536
436	415	535
437	415	533
438	416	532
439	417	530
440	417	529
441	418	527
442	418	526
